"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"112","56","0","43","1","0","0","0.55458017","1","28","0","1","5.922378572","0","50","1","0.440241016","0"
"0","0","0","0","1","1","0","0","0","0","0","1","6.283056587","2","54","-1","-1","0"
"48","24","0","15","1","1","0","0.672530933","1","65","0","1","-1","-1","53","1","0.446558678","0"
"184","72","20","59","1","1","0","0.480425494","1","26","0","1","-1","-1","50","0","0.411832948","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"72","36","0","23","1","0","0","0.66096635","1","65","0","1","4.897187719","3","52","1","0.457941598","0"
"40","20","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"72","36","0","15","1","0","0","0.693688826","4","128","0","1","7.947740637","0","55","0","0.404523286","0"
"152","76","0","43","0","0","0","0.463757174","1","32","0","1","6.63107387","3","49","0","0.332653274","0"
"40","12","8","0","1","1","0","0","0","0","0","1","7.828069671","6","44","-1","-1","0"
"168","84","0","75","1","0","0","0.514470585","1","32","0","1","7.235665874","4","52","0","0.440256903","0"
"192","96","0","69","1","0","0","0.482715646","1","4","0","1","7.560869098","5","52","0","0.459558236","0"
"472","212","24","69","1","0","0","0.482715646","1","4","0","1","7.560869098","5","52","0","0.459558236","0"
